constructor_name,total_points,wins,podiums,avg_finish,avg_position_gain,points_rank
AFM,0.0,0,0,20.571428571428573,0.5714285714285714,81.0
AGS,2.0,0,0,25.382113821138212,5.571428571428571,79.0
ATS,7.0,0,0,18.25925925925926,2.0504201680672267,74.0
Adams,0.0,0,0,27.0,-10.0,81.0
Alfa Romeo,361.0,11,28,13.39689578713969,-1.2596810933940774,19.0
AlphaTauri,306.0,1,2,12.373493975903614,-0.24050632911392406,23.0
Alpine F1 Team,498.0,1,6,11.222222222222221,0.21714285714285714,16.0
Alta,0.0,0,0,13.5,1.6666666666666667,81.0
Amon,0.0,0,0,28.0,-3.0,81.0
Andrea Moda,0.0,0,0,30.133333333333333,7.0,81.0
Apollon,0.0,0,0,33.0,,81.0
Arrows,142.0,0,8,14.320338983050847,2.6570397111913358,36.0
Arzani-Volpini,0.0,0,0,23.0,,81.0
Aston Butterworth,0.0,0,0,25.25,-1.0,81.0
Aston Martin,492.0,0,9,11.24607329842932,0.6338797814207651,17.0
BAR,227.0,0,15,11.415254237288135,-0.6042553191489362,29.0
BMW,0.0,0,0,16.0,11.5,81.0
BMW Sauber,308.0,1,17,8.92142857142857,0.014285714285714285,22.0
BRM,537.5,17,61,12.594306049822064,-0.48956356736242884,14.0
BRM-Ford,0.0,0,0,8.0,8.0,81.0
BRP,11.0,0,0,12.052631578947368,0.5555555555555556,69.0
Behra-Porsche,0.0,0,0,11.0,4.0,81.0
Bellasi,0.0,0,0,23.0,2.0,81.0
Benetton,861.5,27,102,10.163461538461538,-1.4720616570327554,9.0
Boro,0.0,0,0,18.875,3.5,81.0
Brabham,631.0,23,78,14.049848942598187,-2.198697068403909,12.0
Brabham-Alfa Romeo,18.0,0,0,15.610169491525424,-4.745762711864407,65.0
Brabham-BRM,13.0,0,1,12.292682926829269,2.6315789473684212,68.0
Brabham-Climax,78.0,2,11,10.548387096774194,-0.6373626373626373,41.0
Brabham-Ford,68.0,2,9,12.448275862068966,1.28,42.0
Brabham-Repco,175.0,8,25,8.922077922077921,-0.6621621621621622,31.0
Brawn,172.0,8,15,4.882352941176471,0.23529411764705882,32.0
Bromme,0.0,0,0,28.0,-3.4,81.0
Bugatti,0.0,0,0,17.0,1.0,81.0
Caterham,0.0,0,0,17.464285714285715,1.7678571428571428,81.0
Christensen,0.0,0,0,22.5,-4.0,81.0
Cisitalia,0.0,0,0,34.0,,81.0
Coloni,0.0,0,0,30.54320987654321,4.785714285714286,81.0
Connaught,17.0,0,1,16.40740740740741,0.0196078431372549,66.0
Connew,0.0,0,0,21.0,4.0,81.0
Cooper,52.0,2,6,12.70873786407767,2.405940594059406,45.0
Cooper-ATS,0.0,0,0,15.0,5.0,81.0
Cooper-Alfa Romeo,0.0,0,0,15.0,0.0,81.0
Cooper-BRM,20.0,0,2,11.380952380952381,3.857142857142857,63.0
Cooper-Borgward,0.0,0,0,13.0,3.3333333333333335,81.0
Cooper-Castellotti,3.0,0,0,13.5,3.4,78.0
Cooper-Climax,336.5,12,44,11.455223880597014,0.30165289256198347,20.0
Cooper-Ferrari,0.0,0,0,11.0,11.5,81.0
Cooper-Ford,0.0,0,0,21.5,,81.0
Cooper-Maserati,83.0,2,7,11.835820895522389,1.952755905511811,39.0
Cooper-OSCA,0.0,0,0,11.0,3.0,81.0
